ID,Label,Definition,PROMOT Cross-reference,Associated Phenotype (URI),Associated Phenotype (label),Assesses Phenotype (URI),Assesses Phenotype (label),Assesses Function (URI),Assesses Function (label),Captures Data About (URI),Captures Data About (label),Associated Function (URI),Associated Function (label),Involved In (URI),Involved In (label),Located In (URI),Located In (label),LLM Score,LLM Top Candidates,LLM Match Note
http://purl.obolibrary.org/obo/MONDO_0018949,distal myopathy,"",http://id.who.int/icd/entity/1110269994,"","","","","","","","","","","","","","",0.5614,distal myopathy [0.561] | upper respiratory tract [0.538] | nebulin-related early-onset distal myopathy [0.533],PROMOT mapping: 'distal' (LLM score: 0.5614) | Candidates: distal myopathy [0.561] | upper respiratory tract [0.538] | nebulin-related early-onset distal myopathy [0.533]
http://purl.obolibrary.org/obo/HP_0000006,Autosomal dominant inheritance,"",http://id.who.int/icd/entity/1119392889,"","","","","","","","","","","","","","",0.4754,Autosomal dominant inheritance [0.475] | transitional anatomical structure [0.467] | B4GALNT1 [0.446],PROMOT mapping: 'Transferring oneself' (LLM score: 0.4754) | Candidates: Autosomal dominant inheritance [0.475] | transitional anatomical structure [0.467] | B4GALNT1 [0.446]
http://purl.obolibrary.org/obo/HP_0012337,Abnormal homeostasis,"",http://id.who.int/icd/entity/1131514421|http://id.who.int/icd/entity/1266389839|http://id.who.int/icd/entity/1452836727|http://purl.obolibrary.org/obo/PROMOT_0032001,"","","","","","","","","","","","","","",0.6089,Abnormal homeostasis [0.53] | has an isolated presentation [0.513] | physical quality [0.513] || Abnormal homeostasis [0.527] | transitional anatomical structure [0.523] | Abnormality of the musculoskeletal system [0.511] || Abnormal homeostasis [0.445] | Work Productivity and Activity Impairment Specific Health Problems Version 2.0 Questionnaire [0.445] | Four Stair Ascend Test Functional Test [0.415] || Abnormal homeostasis [0.609] | Abnormal brain morphology [0.557] | Abnormal joint physiology [0.556],PROMOT mapping: 'Maintaining body position' (LLM score: 0.5296) | Candidates: Abnormal homeostasis [0.53] | has an isolated presentation [0.513] | physical quality [0.513] | PROMOT mapping: 'Changing and maintaining body position' (LLM score: 0.5266) | Candidates: Abnormal homeostasis [0.527] | transitional anatomical structure [0.523] | Abnormality of the musculoskeletal system [0.511] | PROMOT mapping: 'Household tasks' (LLM score: 0.4452) | Candidates: Abnormal homeostasis [0.445] | Work Productivity and Activity Impairment Specific Health Problems Version 2.0 Questionnaire [0.445] | Four Stair Ascend Test Functional Test [0.415] | PROMOT mapping: 'abnormal disposition' (LLM score: 0.6089) | Candidates: Abnormal homeostasis [0.609] | Abnormal brain morphology [0.557] | Abnormal joint physiology [0.556]
http://purl.obolibrary.org/obo/HP_0034430,Abnormal joint physiology,"",http://id.who.int/icd/entity/1134562249|http://id.who.int/icd/entity/1264948861|http://id.who.int/icd/entity/1919311435,http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","",http://id.who.int/icd/entity/151046878,Speaking,"","",0.6566,Abnormal joint physiology [0.615] | non-connected functional system [0.55] | muscle organ [0.546] || Abnormal joint physiology [0.601] | Joint hypermobility [0.572] | non-connected functional system [0.56] || Abnormal joint physiology [0.657] | non-connected functional system [0.545] | articular system [0.502],PROMOT mapping: 'Functions of the joints and bones' (LLM score: 0.6146) | Candidates: Abnormal joint physiology [0.615] | non-connected functional system [0.55] | muscle organ [0.546] | PROMOT mapping: 'Stability of joint functions' (LLM score: 0.6009) | Candidates: Abnormal joint physiology [0.601] | Joint hypermobility [0.572] | non-connected functional system [0.56] | PROMOT mapping: 'Articulation functions' (LLM score: 0.6566) | Candidates: Abnormal joint physiology [0.657] | non-connected functional system [0.545] | articular system [0.502]
http://purl.obolibrary.org/obo/HP_0011804,Abnormal muscle physiology,"",http://id.who.int/icd/entity/1164313611|http://id.who.int/icd/entity/184992399,"","","","","","","","","","","","","","",0.6353,Abnormal muscle physiology [0.635] | muscle structure [0.615] | musculoskeletal system [0.613] || Abnormal muscle physiology [0.442] | Upper motor neuron dysfunction [0.433] | respiratory system [0.426],PROMOT mapping: 'Muscle functions' (LLM score: 0.6353) | Candidates: Abnormal muscle physiology [0.635] | muscle structure [0.615] | musculoskeletal system [0.613] | PROMOT mapping: 'Functions related to mucus' (LLM score: 0.4421) | Candidates: Abnormal muscle physiology [0.442] | Upper motor neuron dysfunction [0.433] | respiratory system [0.426]
http://purl.obolibrary.org/obo/UBERON_0001007,digestive system,"",http://id.who.int/icd/entity/1174312718|http://id.who.int/icd/entity/1328675264|http://id.who.int/icd/entity/363211474|http://id.who.int/icd/entity/850289698,http://snomed.info/id/840297006,Assessment of PROMs (patient reported outcome measures)|Assessment of patient reported outcome measures,"","","","","","","","",http://id.who.int/icd/entity/1328675264,Eating,"","",0.671,digestive system [0.446] | Dysphagia [0.422] | larynx [0.414] || digestive system [0.529] | intestine [0.524] | alimentary part of gastrointestinal system [0.515] || digestive system [0.524] | Abnormality of digestive system physiology [0.524] | food storage organ [0.499] || digestive system [0.671] | food storage organ [0.644] | Abnormality of digestive system physiology [0.642],"PROMOT mapping: 'Manipulation of food in the mouth' (LLM score: 0.4464) | Candidates: digestive system [0.446] | Dysphagia [0.422] | larynx [0.414] | PROMOT mapping: 'Eating' (LLM score: 0.5289) | Candidates: digestive system [0.529] | intestine [0.524] | alimentary part of gastrointestinal system [0.515] | PROMOT mapping: 'Ingestion functions' (LLM score: 0.5241) | Candidates: digestive system [0.524] | Abnormality of digestive system physiology [0.524] | food storage organ [0.499] | PROMOT mapping: 'Functions of the digestive, metabolic and endocrine systems' (LLM score: 0.671) | Candidates: digestive system [0.671] | food storage organ [0.644] | Abnormality of digestive system physiology [0.642]"
http://purl.obolibrary.org/obo/HP_0000925,Abnormality of the vertebral column,"",http://id.who.int/icd/entity/1182439715|http://id.who.int/icd/entity/341679012,http://purl.obolibrary.org/obo/HP_0002751|http://purl.obolibrary.org/obo/HP_0003306|http://purl.obolibrary.org/obo/HP_0003307,Kyphoscoliosis|Spinal rigidity|Hyperlordosis,"","","","","","","","","","","","",0.5504,"Abnormality of the vertebral column [0.523] | Abnormal curvature of the vertebral column [0.493] | central nervous system [0.463] || Abnormality of the vertebral column [0.55] | Abnormal curvature of the vertebral column [0.517] | skeletal muscle organ, vertebrate [0.517]","PROMOT mapping: 'Cervical vertebral column' (LLM score: 0.5225) | Candidates: Abnormality of the vertebral column [0.523] | Abnormal curvature of the vertebral column [0.493] | central nervous system [0.463] | PROMOT mapping: 'Structure of vertebral column' (LLM score: 0.5504) | Candidates: Abnormality of the vertebral column [0.55] | Abnormal curvature of the vertebral column [0.517] | skeletal muscle organ, vertebrate [0.517]"
http://purl.obolibrary.org/obo/HP_0025142,Constitutional symptom,"",http://id.who.int/icd/entity/1228414013,"","","","","","","","","","","","","","",0.5498,Constitutional symptom [0.55] | Work Productivity and Activity Impairment Specific Health Problems Version 2.0 Questionnaire [0.499] | Physical Strength [0.495],PROMOT mapping: 'General tasks and demands' (LLM score: 0.5498) | Candidates: Constitutional symptom [0.55] | Work Productivity and Activity Impairment Specific Health Problems Version 2.0 Questionnaire [0.499] | Physical Strength [0.495]
http://purl.obolibrary.org/obo/UBERON_0000383,musculature of body,"",http://id.who.int/icd/entity/1233939003,http://purl.obolibrary.org/obo/HP_0003392|http://purl.obolibrary.org/obo/HP_0003427|http://purl.obolibrary.org/obo/HP_0003810|http://purl.obolibrary.org/obo/HP_0008959|http://purl.obolibrary.org/obo/HP_0009005|http://purl.obolibrary.org/obo/HP_0009028|http://purl.obolibrary.org/obo/HP_0009063|http://purl.obolibrary.org/obo/HP_0009077|http://purl.obolibrary.org/obo/HP_0030198|http://purl.obolibrary.org/obo/HP_0031177|http://purl.obolibrary.org/obo/HP_0033466,First dorsal interossei muscle weakness|Thenar muscle weakness|Late-onset distal muscle weakness|Distal upper limb muscle weakness|Weakness of the intrinsic hand muscles|Generalized weakness of limb muscles|Progressive distal muscle weakness|Weakness of long finger extensor muscles|Fatigable weakness of distal limb muscles|Finger flexor weakness|Weak grip,"","","","","","",http://id.who.int/icd/entity/1521707777|http://id.who.int/icd/entity/1789365017,Endurance of muscle groups|Power of isolated muscles and muscle groups,"","","","",0.5536,musculature of body [0.554] | muscle organ [0.537] | muscle structure [0.534],PROMOT mapping: 'Muscles of hand' (LLM score: 0.5536) | Candidates: musculature of body [0.554] | muscle organ [0.537] | muscle structure [0.534]
http://purl.obolibrary.org/obo/UBERON_0001690,ear,"",http://id.who.int/icd/entity/1255154286|http://id.who.int/icd/entity/890173921,"","","","","","","","","","","","","","",0.6431,ear [0.643] | vestibular organ [0.628] | auditory system [0.6] || ear [0.599] | visual system [0.573] | opacity [0.559],PROMOT mapping: 'Hearing and vestibular functions' (LLM score: 0.6431) | Candidates: ear [0.643] | vestibular organ [0.628] | auditory system [0.6] | PROMOT mapping: 'Seeing and related functions' (LLM score: 0.5986) | Candidates: ear [0.599] | visual system [0.573] | opacity [0.559]
http://purl.obolibrary.org/obo/UBERON_0005893,leg bone,"",http://id.who.int/icd/entity/1278239861|http://id.who.int/icd/entity/1650503157|http://id.who.int/icd/entity/933576740,http://purl.obolibrary.org/obo/HP_0001761|http://purl.obolibrary.org/obo/HP_0003810|http://purl.obolibrary.org/obo/HP_0009027|http://purl.obolibrary.org/obo/HP_0009028|http://purl.obolibrary.org/obo/HP_0009053|http://purl.obolibrary.org/obo/HP_0009063|http://purl.obolibrary.org/obo/HP_0030198|http://purl.obolibrary.org/obo/HP_0031374,Pes cavus|Late-onset distal muscle weakness|Foot dorsiflexor weakness|Generalized weakness of limb muscles|Distal lower limb muscle weakness|Progressive distal muscle weakness|Fatigable weakness of distal limb muscles|Ankle weakness,"","","","","","",http://id.who.int/icd/entity/1521707777|http://id.who.int/icd/entity/1789365017,Endurance of muscle groups|Power of isolated muscles and muscle groups,"","","","",0.6207,leg bone [0.517] | jaw muscle [0.506] | pes bone [0.502] || leg bone [0.621] | pes bone [0.611] | tarsal bone [0.608] || leg bone [0.562] | bone of pelvic complex [0.522] | tarsal bone [0.521],PROMOT mapping: 'Muscles of ankle and foot' (LLM score: 0.5171) | Candidates: leg bone [0.517] | jaw muscle [0.506] | pes bone [0.502] | PROMOT mapping: 'Bones of ankle and foot' (LLM score: 0.6207) | Candidates: leg bone [0.621] | pes bone [0.611] | tarsal bone [0.608] | PROMOT mapping: 'Structure of ankle and foot' (LLM score: 0.5623) | Candidates: leg bone [0.562] | bone of pelvic complex [0.522] | tarsal bone [0.521]
http://purl.obolibrary.org/obo/HP_0012531,Pain,"",http://id.who.int/icd/entity/1299345975|http://id.who.int/icd/entity/454325322|http://id.who.int/icd/entity/577558794,http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","","","","","",0.6724,Pain [0.475] | Upper limb muscle weakness [0.471] | familial episodic pain syndrome with predominantly upper body involvement [0.461] || Pain [0.643] | trigeminal neuralgia [0.576] | multi-unit eye [0.573] || Pain [0.672] | Abdominal pain [0.577] | trigeminal neuralgia [0.563],PROMOT mapping: 'Pain in upper limb' (LLM score: 0.4748) | Candidates: Pain [0.475] | Upper limb muscle weakness [0.471] | familial episodic pain syndrome with predominantly upper body involvement [0.461] | PROMOT mapping: 'Pain in multiple body parts' (LLM score: 0.643) | Candidates: Pain [0.643] | trigeminal neuralgia [0.576] | multi-unit eye [0.573] | PROMOT mapping: 'Pain in body part' (LLM score: 0.6724) | Candidates: Pain [0.672] | Abdominal pain [0.577] | trigeminal neuralgia [0.563]
http://purl.obolibrary.org/obo/HP_0007715,Weak extraocular muscles,"",http://id.who.int/icd/entity/1302007745|http://id.who.int/icd/entity/405925948|http://purl.obolibrary.org/obo/PROMOT_0032021|http://purl.obolibrary.org/obo/PROMOT_0032029|http://purl.obolibrary.org/obo/PROMOT_0032065,http://purl.obolibrary.org/obo/HP_0000486|http://purl.obolibrary.org/obo/HP_0000544|http://purl.obolibrary.org/obo/HP_0000651|http://purl.obolibrary.org/obo/HP_0007715|http://purl.obolibrary.org/obo/HP_0007838|http://purl.obolibrary.org/obo/HP_0007941|http://purl.obolibrary.org/obo/PROMOT_0032018|http://purl.obolibrary.org/obo/PROMOT_0032021,Strabismus|External ophthalmoplegia|Diplopia|Weak extraocular muscles|Progressive ptosis|Limited extraocular movements|Fatigable ptosis|Fatigable weakness of the ocular muscles,"","","","","","",http://id.who.int/icd/entity/1090716697|http://id.who.int/icd/entity/1521707777|http://id.who.int/icd/entity/1789365017|http://id.who.int/icd/entity/2021370201|http://id.who.int/icd/entity/2022689055,Functions of external muscles of the eye|Endurance of muscle groups|Power of isolated muscles and muscle groups|Functions of the eyelid|Visual acuity functions,"","","","",0.7693,Weak extraocular muscles [0.555] | Muscle mounding [0.539] | isolated facial myokymia [0.524] || Weak extraocular muscles [0.745] | extra-ocular muscle [0.735] | myopathy of extraocular muscle [0.622] || Weak extraocular muscles [0.769] | Ophthalmoparesis [0.713] | Weakness of orbicularis oculi muscle [0.71] || Weak extraocular muscles [0.756] | myopathy of extraocular muscle [0.615] | extrinsic ocular pre-muscle mass [0.606] || Weak extraocular muscles [0.729] | extra-ocular muscle [0.657] | Ophthalmoparesis [0.635],PROMOT mapping: 'Endurance of isolated muscles' (LLM score: 0.5553) | Candidates: Weak extraocular muscles [0.555] | Muscle mounding [0.539] | isolated facial myokymia [0.524] | PROMOT mapping: 'External ocular muscles' (LLM score: 0.7449) | Candidates: Weak extraocular muscles [0.745] | extra-ocular muscle [0.735] | myopathy of extraocular muscle [0.622] | PROMOT mapping: 'Fatigable weakness of the ocular muscles' (LLM score: 0.7693) | Candidates: Weak extraocular muscles [0.769] | Ophthalmoparesis [0.713] | Weakness of orbicularis oculi muscle [0.71] | PROMOT mapping: 'Endurance of extra-ocular muscle' (LLM score: 0.756) | Candidates: Weak extraocular muscles [0.756] | myopathy of extraocular muscle [0.615] | extrinsic ocular pre-muscle mass [0.606] | PROMOT mapping: 'Power of extra-ocular muscle' (LLM score: 0.729) | Candidates: Weak extraocular muscles [0.729] | extra-ocular muscle [0.657] | Ophthalmoparesis [0.635]
http://purl.obolibrary.org/obo/HP_0001288,Gait disturbance,"",http://id.who.int/icd/entity/1328466963|http://id.who.int/icd/entity/409094401,http://snomed.info/id/12894003,Functional assessment,"","","","","","","","",http://id.who.int/icd/entity/1550548595|http://id.who.int/icd/entity/412494151,Walking|Walking on different surfaces|Running,"","",0.6063,Gait disturbance [0.606] | Functional abnormality of the gastrointestinal tract [0.579] | Abnormality of the genitourinary system [0.53] || Gait disturbance [0.473] | Inability to walk [0.471] | Impaired toe-walking ability [0.462],PROMOT mapping: 'Gait pattern functions' (LLM score: 0.6063) | Candidates: Gait disturbance [0.606] | Functional abnormality of the gastrointestinal tract [0.579] | Abnormality of the genitourinary system [0.53] | PROMOT mapping: 'Walking around obstacles' (LLM score: 0.4725) | Candidates: Gait disturbance [0.473] | Inability to walk [0.471] | Impaired toe-walking ability [0.462]
http://purl.obolibrary.org/obo/HP_0002540,Inability to walk,"",http://id.who.int/icd/entity/1334556216|http://id.who.int/icd/entity/1550548595|http://id.who.int/icd/entity/712447084,"","","","","","","","","","","","","","",0.5622,Inability to walk [0.562] | extrapyramidal and movement disease [0.524] | Impaired toe-walking ability [0.492] || Inability to walk [0.53] | spinocerebellar ataxia 43 [0.501] | Impaired toe-walking ability [0.498] || Inability to walk [0.51] | Abnormality of eye movement [0.497] | Abnormality of movement [0.478],PROMOT mapping: 'Walking and Moving' (LLM score: 0.5622) | Candidates: Inability to walk [0.562] | extrapyramidal and movement disease [0.524] | Impaired toe-walking ability [0.492] | PROMOT mapping: 'Walking' (LLM score: 0.5299) | Candidates: Inability to walk [0.53] | spinocerebellar ataxia 43 [0.501] | Impaired toe-walking ability [0.498] | PROMOT mapping: 'Moving around' (LLM score: 0.51) | Candidates: Inability to walk [0.51] | Abnormality of eye movement [0.497] | Abnormality of movement [0.478]
http://purl.obolibrary.org/obo/HP_0011446,Abnormality of mental function,"",http://id.who.int/icd/entity/134464731|http://id.who.int/icd/entity/1363559646|http://id.who.int/icd/entity/882590883,http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","","","","","",0.6024,Abnormality of mental function [0.602] | intellectual disability [0.525] | Intellectual disability [0.518] || Abnormality of mental function [0.566] | nervous system [0.489] | Intellectual disability [0.474] || Abnormality of mental function [0.59] | Mendelian encephalopathy [0.51] | intellectual disability [0.479],PROMOT mapping: 'Specific mental functions' (LLM score: 0.6024) | Candidates: Abnormality of mental function [0.602] | intellectual disability [0.525] | Intellectual disability [0.518] | PROMOT mapping: 'Mental functions' (LLM score: 0.5658) | Candidates: Abnormality of mental function [0.566] | nervous system [0.489] | Intellectual disability [0.474] | PROMOT mapping: 'Global mental functions' (LLM score: 0.5901) | Candidates: Abnormality of mental function [0.59] | Mendelian encephalopathy [0.51] | intellectual disability [0.479]
