NMDO IRI,PROMOT Count,PROMOT IRIs,PROMOT Labels,LLM Scores,Review Note
http://purl.obolibrary.org/obo/HP_0001288,2,http://id.who.int/icd/entity/1328466963 | http://id.who.int/icd/entity/409094401,Gait pattern functions | Walking around obstacles,0.6063 | 0.4725,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0002540,3,http://id.who.int/icd/entity/1334556216 | http://id.who.int/icd/entity/1550548595 | http://id.who.int/icd/entity/712447084,Walking and Moving | Walking | Moving around,0.5622 | 0.5299 | 0.51,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0011446,3,http://id.who.int/icd/entity/134464731 | http://id.who.int/icd/entity/882590883 | http://id.who.int/icd/entity/1363559646,Specific mental functions | Global mental functions | Mental functions,0.6024 | 0.5901 | 0.5658,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0001004,9,http://id.who.int/icd/entity/744367503 | http://id.who.int/icd/entity/1360101629 | http://id.who.int/icd/entity/1682107878 | http://id.who.int/icd/entity/829058183 | http://id.who.int/icd/entity/446199613 | http://id.who.int/icd/entity/326705068 | http://id.who.int/icd/entity/773343048 | http://id.who.int/icd/entity/495844982 | http://id.who.int/icd/entity/1470583183,"Functions of the respiratory system | Respiratory muscle functions | Additional functions of the respiratory system | Structure of respiratory system | Respiration functions | Functions of the cardiovascular, haematological, immunological and respiratory systems | Additional functions and sensations of the cardiovascular and respiratory systems | Muscles of respiration | Functions of breathing through the mouth",0.7801 | 0.7293 | 0.7206 | 0.6903 | 0.6845 | 0.6275 | 0.6275 | 0.6255 | 0.5918,9 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/NCIT_C139210,6,http://purl.obolibrary.org/obo/PROMOT_0032070 | http://id.who.int/icd/entity/1399000785 | http://purl.obolibrary.org/obo/PROMOT_0032073 | http://purl.obolibrary.org/obo/PROMOT_0032034 | http://purl.obolibrary.org/obo/PROMOT_0032037 | http://purl.obolibrary.org/obo/PROMOT_0032089,Power of hand muscle | Contraction force of ventricular muscles | Power of intrinsic muscle of hand | Endurance of hand muscle | Endurance of intrinsic muscle of hand | Power of thenar muscle,0.5976 | 0.5843 | 0.5626 | 0.5381 | 0.4932 | 0.491,6 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0008202,5,http://id.who.int/icd/entity/1401748164 | http://id.who.int/icd/entity/435521956 | http://id.who.int/icd/entity/249425252 | http://id.who.int/icd/entity/1794398084 | http://id.who.int/icd/entity/862003070,Hip joint | Structure of thigh | Structure of lower leg | Muscles of thigh | Bones of cranium,0.6109 | 0.6064 | 0.5729 | 0.5688 | 0.5129,5 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_0005395,2,http://id.who.int/icd/entity/1405368356 | http://id.who.int/icd/entity/627064928,Sensations related to muscles and movement functions | Movement functions,0.5897 | 0.5681,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0001062,6,http://purl.obolibrary.org/obo/PROMOT_0020003 | http://purl.obolibrary.org/obo/PROMOT_0020004 | http://id.who.int/icd/entity/1626363729 | http://id.who.int/icd/entity/567313968 | http://id.who.int/icd/entity/150502901 | http://id.who.int/icd/entity/142318995,Body structure related anatomical entity | Body function related anatomical entity | Body structures | Body functions | Changing basic body position | Structure of hand,0.758 | 0.7317 | 0.7094 | 0.618 | 0.5526 | 0.4596,6 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0003760,2,http://id.who.int/icd/entity/1434015402 | http://id.who.int/icd/entity/1777008610,Stretch motor reflex | Motor reflex functions,0.5869 | 0.51,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0015203,3,http://id.who.int/icd/entity/1748092144 | http://id.who.int/icd/entity/1436113794 | http://purl.obolibrary.org/obo/PROMOT_0010044,"Stability of a single joint | Community, social and civic life | Active",0.521 | 0.5054 | 0.5014,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/NCIT_C172435,2,http://id.who.int/icd/entity/1462755743 | http://purl.obolibrary.org/obo/PROMOT_0010052,Standing | Risk of fall assessed,0.6126 | 0.5155,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0006056,2,http://id.who.int/icd/entity/1820174762 | http://id.who.int/icd/entity/1474003417,back | Maintaining head position,0.5508 | 0.5349,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0003808,6,http://id.who.int/icd/entity/260756767 | http://id.who.int/icd/entity/1839310222 | http://id.who.int/icd/entity/1521707777 | http://purl.obolibrary.org/obo/PROMOT_0032040 | http://purl.obolibrary.org/obo/PROMOT_0032042 | http://purl.obolibrary.org/obo/PROMOT_0032053,Tone of all muscles of the body | Muscle tone functions | Endurance of muscle groups | Endurance of a set of masticatory muscles | Endurance of muscle of trunk | Endurance of thenar muscle,0.7189 | 0.6776 | 0.5825 | 0.5475 | 0.5388 | 0.5014,6 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0000105,3,http://id.who.int/icd/entity/524305529 | http://id.who.int/icd/entity/1535125568 | http://id.who.int/icd/entity/1873256446,Major life areas | Domestic life | Community life,0.6461 | 0.5219 | 0.5083,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0005090,2,http://id.who.int/icd/entity/1789365017 | http://id.who.int/icd/entity/1571232890,Power of isolated muscles and muscle groups | Intercostal muscles,0.6037 | 0.4633,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0006585,2,http://id.who.int/icd/entity/1831985718 | http://id.who.int/icd/entity/1607952955,Vestibular function of balance | Vestibular functions,0.724 | 0.6414,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0015212,3,http://id.who.int/icd/entity/819739306 | http://id.who.int/icd/entity/512553770 | http://id.who.int/icd/entity/161781738,right | both sides | left,0.6567 | 0.6519 | 0.6509,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_0700005,3,http://id.who.int/icd/entity/1632143254 | http://purl.obolibrary.org/obo/PROMOT_0031005 | http://purl.obolibrary.org/obo/PROMOT_0031006,not specified | variant origin unknown | variant origin unrecorded,0.635 | 0.6041 | 0.5989,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/NCIT_C87802,3,http://id.who.int/icd/entity/389047611 | http://id.who.int/icd/entity/1674298945 | http://purl.obolibrary.org/obo/PROMOT_0032068,Muscle endurance functions | Endurance of all muscles of the body | Power of foot muscle,0.592 | 0.5722 | 0.5265,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0035804,2,http://id.who.int/icd/entity/1754034822 | http://id.who.int/icd/entity/374222990,Structure of mouth | Structure of palate,0.567 | 0.5611,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_0024417,2,http://id.who.int/icd/entity/735194884 | http://id.who.int/icd/entity/1819639191,Purposeful sensory experiences | Reception of language,0.6112 | 0.4479,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0003942,2,http://id.who.int/icd/entity/1916167881 | http://id.who.int/icd/entity/894218497,Sensory functions and pain | Sensation of pain,0.6684 | 0.5616,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/IAO_0000027,5,http://purl.obolibrary.org/obo/PROMOT_0010011 | http://purl.obolibrary.org/obo/PROMOT_0010043 | http://purl.obolibrary.org/obo/PROMOT_0010048 | http://purl.obolibrary.org/obo/PROMOT_0010050 | http://id.who.int/icd/entity/2011053685,statement about a procedure | Proposed | Consent type | Consent to the reuse of data | Learning and applying knowledge,0.552 | 0.5313 | 0.5236 | 0.5015 | 0.4876,5 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0012373,2,http://id.who.int/icd/entity/2031311308 | http://id.who.int/icd/entity/2021370201,Functions of structures adjoining the eye | Functions of the eyelid,0.6153 | 0.506,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/PATO_0000957,4,http://id.who.int/icd/entity/2022689055 | http://id.who.int/icd/entity/848997900 | http://purl.obolibrary.org/obo/PROMOT_0032088 | http://purl.obolibrary.org/obo/PROMOT_0031004,Visual acuity functions | Seeing functions | Power of temporalis | opted-out,0.6626 | 0.5893 | 0.5251 | 0.5012,4 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0011729,2,http://id.who.int/icd/entity/248265067 | http://id.who.int/icd/entity/2048203604,Mobility of joint functions | Mobility,0.6139 | 0.5427,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0011025,2,http://id.who.int/icd/entity/719872561 | http://id.who.int/icd/entity/222589883,Functions of the cardiovascular system | Heart functions,0.6528 | 0.5811,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0005179,2,http://id.who.int/icd/entity/232409592 | http://id.who.int/icd/entity/793188683,Structure of pelvic region | Muscles of pelvic region,0.7034 | 0.6049,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0001630,3,http://id.who.int/icd/entity/644658903 | http://id.who.int/icd/entity/274570113 | http://id.who.int/icd/entity/73014515,Structures related to movement | Muscle power functions | Work and employment,0.6287 | 0.5744 | 0.4577,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0003547,3,http://purl.obolibrary.org/obo/PROMOT_0032087 | http://id.who.int/icd/entity/278512890 | http://purl.obolibrary.org/obo/PROMOT_0032051,Power of shoulder muscle | Muscles of shoulder region | Endurance of shoulder muscle,0.6058 | 0.5464 | 0.5348,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0004487,3,http://id.who.int/icd/entity/294830867 | http://purl.obolibrary.org/obo/PROMOT_0032069 | http://id.who.int/icd/entity/822292691,Muscles of forearm | Power of forearm muscle | Structure of forearm,0.6254 | 0.6159 | 0.5411,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0004535,2,http://id.who.int/icd/entity/397303672 | http://id.who.int/icd/entity/521411479,"Structure of cardiovascular system | Structures of cardiovascular, immunological and respiratory systems",0.6991 | 0.6874,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_0001815,2,http://id.who.int/icd/entity/399242087 | http://id.who.int/icd/entity/412494151,Recreation and leisure | Running,0.4879 | 0.48,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_0021128,5,http://id.who.int/icd/entity/855039967 | http://id.who.int/icd/entity/485719194 | http://purl.obolibrary.org/obo/PROMOT_0010012 | http://id.who.int/icd/entity/623565657 | http://purl.obolibrary.org/obo/PROMOT_0010041,Sitting | Maintaining a standing position | statement about a patient | Maintaining a sitting position | Consent status,0.5536 | 0.5228 | 0.5186 | 0.5045 | 0.5023,5 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0000949,2,http://id.who.int/icd/entity/925451085 | http://id.who.int/icd/entity/552193364,Endocrine gland functions | Functions related to metabolism and the endocrine system,0.6505 | 0.6306,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0035118,2,http://id.who.int/icd/entity/553784299 | http://id.who.int/icd/entity/871682135,Drinking | Preparing meals,0.4188 | 0.4122,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_6000490,2,http://purl.obolibrary.org/obo/PROMOT_0032014 | http://id.who.int/icd/entity/555410497,Difficulty walking short distance | Walking short distances,0.5904 | 0.4781,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0004347,8,http://purl.obolibrary.org/obo/PROMOT_0032071 | http://purl.obolibrary.org/obo/PROMOT_0032072 | http://id.who.int/icd/entity/556694745 | http://purl.obolibrary.org/obo/PROMOT_0032078 | http://purl.obolibrary.org/obo/PROMOT_0032036 | http://purl.obolibrary.org/obo/PROMOT_0032035 | http://purl.obolibrary.org/obo/PROMOT_0032027 | http://purl.obolibrary.org/obo/PROMOT_0032067,Power of intercostal muscle | Power of a set of intercostal muscles | Power of muscles of the trunk | Power of muscle of trunk | Endurance of a set of intercostal muscles | Endurance of intercostal muscle | Endurance of diaphragm | Power of first dorsal interosseous of hand,0.5503 | 0.5453 | 0.5343 | 0.5284 | 0.5068 | 0.5021 | 0.4831 | 0.4783,8 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0009569,2,http://id.who.int/icd/entity/723417607 | http://id.who.int/icd/entity/58064740,Structure of trunk | Muscles of trunk,0.6851 | 0.5731,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/SO_0001235,2,http://id.who.int/icd/entity/670326378 | http://purl.obolibrary.org/obo/PROMOT_0031003,more than one region | lost in follow-up,0.6177 | 0.5132,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0001737,5,http://id.who.int/icd/entity/691689627 | http://purl.obolibrary.org/obo/PROMOT_0032081 | http://purl.obolibrary.org/obo/PROMOT_0032045 | http://purl.obolibrary.org/obo/PROMOT_0032077 | http://purl.obolibrary.org/obo/PROMOT_0032041,Pharyngeal swallowing | Power of a set of pharyngeal muscles | Endurance of a set of pharyngeal muscles | Power of muscle of pharynx | Endurance of muscle of pharynx,0.5977 | 0.5318 | 0.4998 | 0.4722 | 0.4694,5 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/PATO_0001690,2,http://purl.obolibrary.org/obo/PROMOT_0010008 | http://id.who.int/icd/entity/909196092,statement about a consent | Communicating - producing,0.4679 | 0.4578,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_0100150,2,http://purl.obolibrary.org/obo/PROMOT_0000009 | http://purl.obolibrary.org/obo/PROMOT_0000013,RAPSN variant | RYR1 variant,0.6513 | 0.6512,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_1040031,2,http://purl.obolibrary.org/obo/PROMOT_0000011 | http://purl.obolibrary.org/obo/PROMOT_0000015,MTM1 variant | TTN variant,0.6426 | 0.627,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/IAO_0000030,6,http://purl.obolibrary.org/obo/PROMOT_0010007 | http://purl.obolibrary.org/obo/PROMOT_0010004 | http://purl.obolibrary.org/obo/PROMOT_0010003 | http://purl.obolibrary.org/obo/PROMOT_0010006 | http://purl.obolibrary.org/obo/PROMOT_0010005 | http://purl.obolibrary.org/obo/PROMOT_0010001,year content entity | duration content entity | decimal content entity | token content entity | int content entity | age content entity,0.6262 | 0.6222 | 0.6175 | 0.6129 | 0.6087 | 0.5756,6 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UPHENO_0001001,3,http://purl.obolibrary.org/obo/PROMOT_0010010 | http://purl.obolibrary.org/obo/PROMOT_0032005 | http://purl.obolibrary.org/obo/PROMOT_0032003,statement about a phenotype | Body function related phenotype | Activity related phenotype,0.7789 | 0.662 | 0.6162,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0011462,10,http://purl.obolibrary.org/obo/PROMOT_0010019 | http://purl.obolibrary.org/obo/PROMOT_0010018 | http://purl.obolibrary.org/obo/PROMOT_0010015 | http://purl.obolibrary.org/obo/PROMOT_0010021 | http://purl.obolibrary.org/obo/PROMOT_0010016 | http://purl.obolibrary.org/obo/PROMOT_0010033 | http://purl.obolibrary.org/obo/PROMOT_0010030 | http://purl.obolibrary.org/obo/PROMOT_0010032 | http://purl.obolibrary.org/obo/PROMOT_0010029 | http://purl.obolibrary.org/obo/PROMOT_0010022,Early young adulthood | Young adulthood | Adulthood | Late young adulthood | Late adulthood | Juvenile age | Pediatric age | Infantile age | Neonatal age | Antenatal age,0.6288 | 0.6132 | 0.6085 | 0.6031 | 0.6014 | 0.5996 | 0.5615 | 0.5613 | 0.5457 | 0.4626,10 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0000068,3,http://purl.obolibrary.org/obo/PROMOT_0010023 | http://purl.obolibrary.org/obo/PROMOT_0010026 | http://purl.obolibrary.org/obo/PROMOT_0010027,Embryonal | Second trimester | Third trimester,0.7058 | 0.4913 | 0.4412,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_0000088,2,http://purl.obolibrary.org/obo/PROMOT_0010034 | http://purl.obolibrary.org/obo/PROMOT_0010036,Perimenopausal age | Puerpural age,0.4745 | 0.4448,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_0021141,4,http://purl.obolibrary.org/obo/PROMOT_0010040 | http://purl.obolibrary.org/obo/PROMOT_0010039 | http://purl.obolibrary.org/obo/PROMOT_0010038 | http://purl.obolibrary.org/obo/PROMOT_0010037,Gender identity not recorded | Gender identity unknown | Sex at birth not recorded | Patient sex at birth unknown,0.5785 | 0.5683 | 0.532 | 0.5005,4 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0001254,2,http://purl.obolibrary.org/obo/PROMOT_0010046 | http://purl.obolibrary.org/obo/PROMOT_0010051,Inactive | Unrecorded handedness,0.5115 | 0.4736,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0000118,3,http://purl.obolibrary.org/obo/PROMOT_0020002 | http://purl.obolibrary.org/obo/PROMOT_0020001 | http://purl.obolibrary.org/obo/PROMOT_0100003,Phenotypically related anatomical entity | Phenotypically related body structure | Phenotypically related procedure,0.7276 | 0.6395 | 0.595,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/PATO_0001018,5,http://purl.obolibrary.org/obo/PROMOT_0032002 | http://purl.obolibrary.org/obo/PROMOT_0100002 | http://purl.obolibrary.org/obo/PROMOT_0100001 | http://purl.obolibrary.org/obo/PROMOT_0110001 | http://purl.obolibrary.org/obo/PROMOT_0120002,Activity related body function | Body function related procedure | Activity related procedure | Activity | Participation,0.6433 | 0.6153 | 0.5399 | 0.503 | 0.4885,5 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0006314,2,http://purl.obolibrary.org/obo/PROMOT_0032010 | http://purl.obolibrary.org/obo/PROMOT_0032007,Coughing on liquids | Choking on liquids,0.4872 | 0.4797,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0002019,2,http://purl.obolibrary.org/obo/PROMOT_0032008 | http://purl.obolibrary.org/obo/PROMOT_0032011,Choking on saliva | Coughing on saliva,0.4727 | 0.4507,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0003327,2,http://purl.obolibrary.org/obo/PROMOT_0032019 | http://purl.obolibrary.org/obo/PROMOT_0032023,Fatigable weakness of axial muscles | Weakness of chewing muscles,0.8038 | 0.6414,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0030319,2,http://purl.obolibrary.org/obo/PROMOT_0032020 | http://purl.obolibrary.org/obo/PROMOT_0032066,Fatigable weakness of facial musculature | Power of facial muscle,0.7818 | 0.6666,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0009023,2,http://purl.obolibrary.org/obo/PROMOT_0032060 | http://purl.obolibrary.org/obo/PROMOT_0032024,Power of abdominal muscle | Endurance of abdominal muscle,0.6559 | 0.6496,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0003484,3,http://purl.obolibrary.org/obo/PROMOT_0032061 | http://purl.obolibrary.org/obo/PROMOT_0032025 | http://purl.obolibrary.org/obo/PROMOT_0032033,Power of arm muscle | Endurance of arm muscle | Endurance of forearm muscle,0.6508 | 0.6331 | 0.563,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/PATO_0001309,3,http://purl.obolibrary.org/obo/PROMOT_0032026 | http://purl.obolibrary.org/obo/PROMOT_0032039 | http://purl.obolibrary.org/obo/PROMOT_0032052,Endurance of buccinator | Endurance of masseter | Endurance of temporalis,0.5872 | 0.5802 | 0.5172,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
